Year,Incomes,Rates(%)
2018/12/1,183352,6.2
2019/1/1,,
2019/2/1,39104,7
2019/3/1,53656,6.2
2019/4/1,72651,5.3
2019/5/1,89919,3.8
2019/6/1,107846,3.4
2019/7/1,125623,3.1
2019/8/1,137061,3.2
2019/9/1,150678,3.3
2019/10/1,167704,3.8
2019/11/1,178967,3.8
2019/12/1,190382,3.8
2020/1/1,,
2020/2/1,35232,-9.9
2020/3/1,45984,-14.3
2020/4/1,62132.9,-14.5
2020/5/1,77672,-13.6
2020/6/1,96176,-10.8
2020/7/1,114725,-8.7
2020/8/1,126768,-7.5
2020/9/1,141002,-6.4
2020/10/1,158533,-5.5
2020/11/1,169489,-5.3
2020/12/1,182895,-3.9
2021/1/1,,
2021/2/1,41805.4,18.7
2021/3/1,57115,24.2
2021/4/1,78008,25.5
2021/5/1,96454,24.2
2021/6/1,117116,21.8
2021/7/1,137716,20
2021/8/1,150088,18.4
2021/9/1,164020,16.3
2021/10/1,181526,14.5
2021/11/1,191252,12.8
